rating,C6H6,C7H8,CO,FN,NO,NO2,O3,PM10,PM25,SO2
0,0,0,0,0,0,0,0,0,0,0
1,2,2,250,1,10,10,15,10,10,10
2,4,4,500,3,25,20,30,20,15,15
3,5,5,1000,4,50,30,40,30,20,20
4,10,10,1500,6,100,45,60,45,30,100
5,15,20,2000,8,150,60,80,60,40,200
6,20,40,3000,10,200,75,100,75,50,350
7,30,60,5000,15,400,100,140,100,70,375
8,50,75,10000,20,600,125,180,125,90,400
9,100,100,25000,100,1000,150,200,150,100,500
10,500,500,50000,500,5000,200,240,200,140,10000
11,10000,10000,100000,10000,10000,10000,10000,100000,10000,20000
12,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000
